fold,mse,rmse,mae,spear,pear,model_type,n_final_feats,feat_sel,model_class
2,0.002158903235427,0.0464639993481732,0.0348865961850503,0.4669129382334977,0.5339022749579854,ridge_sfm_xgb,5,ridge_sfm,xgb
3,0.0026497244893324,0.0514754746392148,0.0364852814508788,0.4718439176479377,0.5258759160079971,ridge_sfm_xgb,5,ridge_sfm,xgb
4,0.0016562434797779,0.040696971383359,0.0306186611557513,0.6493597825541108,0.7082634303220723,ridge_sfm_xgb,5,ridge_sfm,xgb
0,0.0017599019652467,0.0419511855046644,0.0313619593029736,0.6221421066075175,0.6648263504407566,ridge_sfm_lgbm,5,ridge_sfm,lgbm
1,0.001485489484535,0.0385420482659527,0.0302231026210432,0.6101984640791513,0.6802346667551165,ridge_sfm_lgbm,5,ridge_sfm,lgbm
2,0.0018475541232594,0.0429831841917212,0.0319522772786344,0.5502245863853603,0.5914306306831193,ridge_sfm_lgbm,5,ridge_sfm,lgbm
3,0.0024017096416972,0.0490072407068305,0.0372012739782375,0.5014164628471944,0.571609185877004,ridge_sfm_lgbm,5,ridge_sfm,lgbm
4,0.0016110441475635,0.040137814434316,0.0291674181753752,0.6665486551103141,0.7089511569613784,ridge_sfm_lgbm,5,ridge_sfm,lgbm
0,0.0017144423380089,0.0414058249284926,0.0304899331978173,0.6354606825174777,0.6754225704622976,ridge_sfm_cb,5,ridge_sfm,cb
1,0.0015103587563752,0.0388633343445366,0.0301095563293586,0.5924846656809334,0.6721528110464448,ridge_sfm_cb,5,ridge_sfm,cb
2,0.0017522946498568,0.0418604186536263,0.031354867812398,0.562936186588362,0.6133383577650593,ridge_sfm_cb,5,ridge_sfm,cb
3,0.0022417841604638,0.0473474831481452,0.0345519307101546,0.5300740847165915,0.5954894009858209,ridge_sfm_cb,5,ridge_sfm,cb
4,0.0015161605476671,0.0389379063082129,0.0292073770358472,0.6687800879564565,0.7265263717809173,ridge_sfm_cb,5,ridge_sfm,cb
0,0.0016520827108583,0.0406458203368857,0.033515435794847,0.6803889636288303,0.6930028311413318,et_sfm_linear,5,et_sfm,linear
1,0.0014200669472266,0.0376837756498286,0.028816854751686,0.6789078259162542,0.7390325862348863,et_sfm_linear,5,et_sfm,linear
2,0.0015785929063724,0.0397315102453014,0.0307239044904029,0.5839896408095461,0.6593329008316612,et_sfm_linear,5,et_sfm,linear
3,0.0017211957430419,0.0414872961645125,0.0331059143006587,0.6173594805222917,0.7085951485126205,et_sfm_linear,5,et_sfm,linear
4,0.0015957195086418,0.0399464580237333,0.032862981566452,0.5966304259311889,0.7053886761709266,et_sfm_linear,5,et_sfm,linear
0,0.0016508301916539,0.0406304096909444,0.0334921999007533,0.6806583280854362,0.693327502757808,et_sfm_ridge,5,et_sfm,ridge
1,0.0014130534314605,0.037590602967505,0.0287301365072783,0.6797798372273633,0.7391377619836113,et_sfm_ridge,5,et_sfm,ridge
2,0.0015683584997588,0.039602506230779,0.0305711560286877,0.5864738115858474,0.6614898103184168,et_sfm_ridge,5,et_sfm,ridge
3,0.0017228432879699,0.0415071474323392,0.0331479134380629,0.6169233955706762,0.7082928350984533,et_sfm_ridge,5,et_sfm,ridge
4,0.001594545192498,0.0399317566918623,0.0328671919179314,0.5950444841957123,0.7057034534307869,et_sfm_ridge,5,et_sfm,ridge
0,0.0018692159722642,0.0432344304029118,0.0318339932588632,0.6263450472558292,0.656493689968644,et_sfm_et,5,et_sfm,et
1,0.0011458040594611,0.0338497276128059,0.0231856454220929,0.713792552925872,0.7934528166915402,et_sfm_et,5,et_sfm,et
2,0.0018758153466274,0.0433106839778296,0.0330848981049039,0.5234459950394472,0.6175238692008604,et_sfm_et,5,et_sfm,et
3,0.0018996351223386,0.0435848038006208,0.0319276334131294,0.57830422529673,0.6731568791099922,et_sfm_et,5,et_sfm,et
4,0.0016810088906615,0.0410001084225583,0.0302736867413297,0.5745683092282379,0.6883348410642531,et_sfm_et,5,et_sfm,et
0,0.0018042326447846,0.0424762597786653,0.031742133994146,0.6602336612726335,0.6787082043895799,et_sfm_xgb,5,et_sfm,xgb
1,0.0014378199947561,0.0379185969513127,0.0267030116910757,0.6922872151504292,0.7580656777823118,et_sfm_xgb,5,et_sfm,xgb
2,0.0020271923392925,0.045024352735964,0.0342181139849311,0.5246474614562125,0.6017377319435436,et_sfm_xgb,5,et_sfm,xgb
3,0.001993904812312,0.0446531612801611,0.0309510155985796,0.5642084205371592,0.6646857378796134,et_sfm_xgb,5,et_sfm,xgb
4,0.0016634865123246,0.0407858616719651,0.0290173866800779,0.6005674942286928,0.6967723791989753,et_sfm_xgb,5,et_sfm,xgb
0,0.0017487424995968,0.041817968621118,0.0318700169671177,0.6450380854190223,0.6869823329670429,et_sfm_lgbm,5,et_sfm,lgbm
1,0.001275147725445,0.0357092106527866,0.0254688009749552,0.7062650435196794,0.7765509168222248,et_sfm_lgbm,5,et_sfm,lgbm
2,0.0017074039461956,0.0413207447439621,0.0321877049552126,0.5683491989856039,0.6500617038302924,et_sfm_lgbm,5,et_sfm,lgbm
